product_url,product_name,brand,sku,image_url,star_rating,number_of_reviews,MRP,sale_price,discount_percentage,colour,description,details_and_care,style_1,category,material
https://www.debenhams.com/product/goddiva-cowl-neck-bardot-satin-midi-with-front-split_p-f3984165-1edb-455c-bc14-0e4cbe279470?colour=Light%20Beige,Cowl Neck Bardot Satin Midi With Front Split,Goddiva,SKU: M5056604769756,https://media.boohoo.com/i/boohoo/m5056604769756_light%20beige_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,5,2,63,50.4,20,Light Beige,"Get the party started with this ultra-feminine and flattering dress. This Bardot style features a cowl neckline, pleating details, and high slit thigh-highs. This effortlessly cute dress is perfect for any occasion, from a night out on the town to a romantic dinner date. The satin cowl neck and front thigh split detail will have all eyes on you. This sexy satinnumber is not only a perfect pick for date nights and cocktails with friends, but is also a hands down winner for wedding guests. Team with statement jewellery, and be ready to dance the night away.
Style: Midi Dress
Sleeve Length: Short Sleeve","Knitted, Fabric 95% Polyester 5% Elastane. Do not dry clean cold hand wash only. Cool iron on reverse. Do not bleach.",Midi Dress,Dresses,Polyester
https://www.debenhams.com/product/double-second-chiffon-pleat-detail-dress_p-0027e106-a18e-4660-ba2e-514ac6eeacca?colour=Navy,Chiffon Pleat Detail Dress,DOUBLE SECOND,SKU: M5060972568996,https://media.boohoo.com/i/boohoo/m5060972568996_navy_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,Not Available,Not Available,129,51,Not Available,Navy,"This chiffon pleat detail dress is suited for casual weekends, your work wardrobe or your next city break. It boasts a zig zag frill detail garnishing beautiful pleated chiffon and a v-neckline. This short sleeve midi dress also features an elegant keyhole back and a removable waist belt that can transform this dress from a more contoured shape to an effortless A-line silhouette.
Style: Dress
Sleeve Length: Short Sleeve
Length: Midi
Neckline: V Neck
Design: Plain
Fabric: Woven",100% Polyester. Wash at 40. Model wears an 8,Dress,Dresses,Polyester
https://www.debenhams.com/product/wallis-petite-floral-embellished-ruffle-sleeve-shift-dress_byy07572?colour=multi,Petite Floral Embellished Ruffle Sleeve Shift Dress,Wallis,SKU: BYY07572-144-16,https://media.boohoo.com/i/boohoo/byy07572_multi_xl?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,Not Available,Not Available,85,51,40,multi,"Just say dress. From sophisticated workwear styles to show stopping event-ready designs, our new season dresses have you covered for any and all occasions. Discover unique prints, elegant silhouettes and versatile styles. Whatever you've got in the diary, we've got the dress for it. Shop versatile Midi dresses, elegant Maxi dresses and everything in between. Style: Petite Floral Embellished Ruffle Sleeve Shift Dress. Ideal for: Occasion. Design: Ruffle. Model wears size UK 10 and is 5' 3"" tall. Make-up & Fragrance: Primer (Benefit, Porefessional Face Primer 22ml), Foundation (Estée Lauder, Futurist Hydra Rescue Moisturizing Foundation SPF45), Mascara (Benefit , Badgal Bang Volumising Mascara 8.5g Pitch Black), Brow Pencil (Benefit, Goof Proof Easy Shape And Fill Brow Pencil 0.3g), Fragrance (Marc Jacobs Daisy Eau De Toilette For Her).
Style: Shift Dress
Sleeve Length: Long Sleeve",Not Available,Dress,Dresses,Not Available
https://www.debenhams.com/product/wallis-satin-angel-sleeve-midi-dress_byy06705?colour=cornflower,Satin Angel Sleeve Midi Dress,Wallis,SKU: BYY06705-381-18,https://media.boohoo.com/i/boohoo/byy06705_cornflower_xl?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,Not Available,Not Available,79,51,35,Cornflower,"Just say dress. From sophisticated workwear styles to show stopping event-ready designs, our new season dresses have you covered for any and all occasions. Discover unique prints, elegant silhouettes and versatile styles. Whatever you've got in the diary, we've got the dress for it. Shop versatile Midi dresses, elegant Maxi dresses and everything in between. Style: Satin Angel Sleeve Midi Dress. Ideal for: Occasion. Model wears size UK 10 and is 5' 9"" tall. Make-up & Fragrance: Primer (Estée Lauder, The Smoother Universal Perfecting Primer + Finisher), Foundation (Estée Lauder, Double Wear Stay in Place Foundation SPF10), Mascara (Lancôme, Hypnôse Custom-Wear Volume Mascara), Bronzer (Estée Lauder, Bronze Goddess Healthy Glow Bronzer), Fragrance (Marc Jacobs, Daisy Eau De Toilette For Her).
Style: Fit & Flare Dress
Sleeve Length: Short Sleeve
Length: Midi","Shell: 95% Polyester, 5% Elastane. Lining: 100% Polyester. Machine Washable. Model Wears UK Size 10.",Dress,Dresses,Polyester
https://www.debenhams.com/product/jon-richard-sophia-bead-and-crystal-statement-tiara_p-e46f2a6e-75e9-408c-85b5-be1db04c39b4?colour=Silver,Sophia Bead And Crystal Statement Tiara,Jon Richard,SKU: M5051024713631,https://media.boohoo.com/i/boohoo/m5051024713631_silver_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,4,1,65,52,20,Silver,"Statement Crystal tiara from the the Jon Richard Bridal Range. This sparkling tiara will make the bride look even more like a princess.
Style: Tiara",Material: Silver Plated Base Metal With Crystal | Fastening: Tiara | Width Dimension: 330mm | Drop Dimension: 35mm,Tiara,Accessories,Not Available
https://www.debenhams.com/product/simply-silver-sterling-silver-925-infinity-link-bracelets_p-940876d3-124a-4dbb-9234-7bf064cefa18?colour=Silver,Sterling Silver 925 Infinity Link Bracelets,Simply Silver,SKU: M5051024693230,https://media.boohoo.com/i/boohoo/m5051024693230_silver_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,1,1,65,52,20,Silver,"Our iconic Simply Silver collection boasts fine, contemporary and meaningful 925 Sterling Silver jewellery. This beautifully designed infinity link bracelet is the perfect way to finish any outfit, whatever the occasion.
Style: Bracelet","Fastening: Lobster Clasp Fastening Fastening | Chain Length: 7"" | Extender Length: 1""",Bracelets,Accessories,Not Available
https://www.debenhams.com/product/coast-2-in-1-belted-jacquard-midi-dress_bcc03226?colour=blue,2 In 1 Belted Jacquard Midi Dress,Coast,SKU: BCC03226-106-16,https://media.boohoo.com/i/boohoo/bcc03226_blue_xl?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,3.3,3,149,52,65,Blue,"A bold new take on the prom-style dress, this luxe jacquard number comprises a plain, slash-neck bodice with an opulently patterned skirt. Cinched neatly at the waist with a retro buckled belt, it effortlessly accentuates your form in all the most flattering places.Style: Full Skirted DressFabric: JacquardLength: MidiNeckline: BardotSleeve Length: Sleeveless
Style: Full Skirted Dress
Sleeve Length: Sleeveless
Length: Midi","Main: 100% Polyester, Lining: 100% Polyester. Wash at 30",Dress,Dresses,Polyester
https://www.debenhams.com/product/dorothy-perkins-chiffon-dobby-angel-sleeve-midi-dress_bqq09660?colour=navy,Chiffon Dobby Angel Sleeve Midi Dress,Dorothy Perkins,SKU: BQQ09660-148-18,https://media.boohoo.com/i/boohoo/bqq09660_navy_xl?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,Not Available,Not Available,65,52,20,Navy,"You've got the plans, we've got the dresses. From midi dresses to maxi dresses, bridesmaid dresses and everything in between, we've got you covered for every event in the social calendar. Whether you're after occasionwear for a special event or updating your work attire with a simple shirt dress, you'll find a range of amazing styles and silhouettes at DP. Style: Chiffon Dobby Angel Sleeve Midi Dress Ideal for: Occasion Design: Pleated Model wears size UK 10 and is 5' 9"" tall Make-up & Fragrance: Primer (Estée Lauder, The Mattifier Shine Control Perfecting Primer + Finisher), Foundation (Lancôme, Teint Miracle Luminous Satin Foundation), Mascara (Estée Lauder, Double Wear Zero-Smudge Lengthening Mascara), Blusher (Benefit, Wanderful World Blushes Starlaa Rosy Bronze Powder Blusher), Setting Spray (Benefit, Porefessional Super Setter Setting Spray Mini 30ml), Fragrance (Elie Saab, Elixir).
Style: Fit & Flare Dress
Sleeve Length: Long Sleeve
Length: Midi",100% Polyester. Machine washable. Model wears size 10.,Dress,Dresses,Polyester
https://www.debenhams.com/product/goddiva-embroidered-mesh-scuba-midi-dress_p-a55117fa-0c19-4799-8550-80f707ad9445?colour=Black,Embroidered Mesh & Scuba Midi Dress,Goddiva,SKU: M5056604744098,https://media.boohoo.com/i/boohoo/m5056604744098_black_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,2.6,5,65,52,20,Black,"Chic, elegant and a little bit sexy, this is what you should expect from thispurpleembroidered mesh & scuba midi dress. This embroidered lace bodice midi with scuba crepe skirt is a perfect addition to your Spring and Summer wardrobe. This beautifullace bodice dress will have you looking charming and chic at any occasion, whether it's at a wedding, cocktails with the girls, special date night or for that special occasion. Pair this stunning dress with heels and a statement necklace to be the belle of the ball!
Style: Midi Dress
Sleeve Length: Long Sleeve","Woven, 100% Polyester, Do not dry clean cold hand wash only. Cool iron on reverse. Do not bleach.",Midi Dress,Dresses,Polyester
https://www.debenhams.com/product/yumi-green-frill-wrap-dress-with-tassel-detail_p-b6693066-7674-43ac-b810-ba8a8fcce509?colour=Green,Green Frill Wrap Dress With Tassel Detail,Yumi,SKU: M5052011991971,https://media.boohoo.com/i/boohoo/m5052011991971_green_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,5,1,65,52,Not Available,Green,"Beautifully cut in a lightweight fabric this wrap dress is a wonderful choice for parties. Enhanced by sweet ruffles, it’s supported by the waist tie that pulls your figure in. Closing with a tie, wear with heels.
Style: Wrap Dress
Sleeve Length: Short Sleeve
Length: Midi
Neckline: Wrap
Detail: Frill
Design: Plain
Fabric: Woven","Shell:100% Polyester, Lining:100% Polyester. Machine Wash At 30.",Wrap Dress,Dresses,Polyester
